개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,,,,,,정보
3040000,CDFH3301081994000016,1994-11-24,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-29,,,,02-458-1116,,143-865,서울특별시 광진구 자양동 606-27,서울특별시 광진구 뚝섬로52길 4 (자양동),,성일당구장(5대),2023-03-29 14:51:45,U,2022-12-02 21:01:00.0,,206943.894875237,447730.416384887,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000002,19950127,,03,폐업,03,폐업,20001206,,,,205-0232,,143916,서울특별시 광진구 화양동 21-23번지 ,서울특별시 광진구 광나루로14길 6  (화양동),,천지당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206002.304416541    ,449507.587423434    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000004,1995-02-14,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-28,,,,455-9795,,143-962,서울특별시 광진구 구의동 230-23,서울특별시 광진구 광나루로40길 14 (구의동),,마스타당구장,2023-03-28 17:44:44,U,2022-12-02 21:00:00.0,,207821.617927383,449102.067126078,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000005,19950220,,03,폐업,03,폐업,20010917,,,,468-5228,,143914,서울특별시 광진구 화양동 3-39번지 ,서울특별시 광진구 능동로 129-1  (화양동),,현대당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206256.130422198    ,448927.555447908    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000006,19950228,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 430-4 ,서울특별시 광진구 광나루로24길 37, 지층, 1층 (화양동),05022,새로난당구장,2022-03-02 18:08:34,U,2022-03-04 02:40:00.0,,206749.626325433    ,449191.873738685    ,당구장업,사립,,0,0,0,0,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000007,19950406,,03,폐업,03,폐업,19990428,,,,,,143841,서울특별시 광진구 자양동 16-25번지 ,서울특별시 광진구 동일로18길 19  (자양동),,황제당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,205592.489674587    ,448626.489773482    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000008,19950410,,03,폐업,03,폐업,19991201,,,,491-9450,,143909,서울특별시 광진구 중곡동 570-6번지 ,서울특별시 광진구 면목로17길 18-1  (중곡동),,공간당구장,2003-12-26 15:10:08,I,2018-08-31 23:59:59.0,,207186.918069045    ,452040.483594359    ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000009,1995-04-10,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-23,,,,447-0381,,143-817,서울특별시 광진구 구의동 54-13,서울특별시 광진구 자양로 277 (구의동),,허슬러당구장,2023-03-23 15:42:22,U,2022-12-02 22:05:00.0,,207979.88297951,449841.076765545,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000010,19950503,,03,폐업,03,폐업,20000321,,,,461-3377,,143847,서울특별시 광진구 능동 283-6번지 ,서울특별시 광진구 능동로 258  (능동),,데니스당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206783.63991983     ,450080.097206798    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000012,19950522,,03,폐업,03,폐업,20001101,,,,2201-3879,,143809,서울특별시 광진구 광장동 331-3번지 ,서울특별시 광진구 아차산로 613  (광장동),,SBS당구장,2003-12-26 14:07:53,I,2018-08-31 23:59:59.0,,209341.275690384    ,449510.253184439    ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000013,19950609,,01,영업/정상,13,영업중,,,,,458-4942,,143889,서울특별시 광진구 중곡동 115-1번지 ,서울특별시 광진구 천호대로127길 16  (중곡동),,스타당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207856.076122688    ,450146.383065946    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000014,19950614,,03,폐업,03,폐업,20130819,,,,457-6975,,143873,서울특별시 광진구 자양동 679-31번지 ,서울특별시 광진구 자양로 49  (자양동),,신성당구장,2013-08-19 17:46:12,I,2018-08-31 23:59:59.0,,207459.25486718     ,447773.810030137    ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000015,1995-06-14,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-23,,,,497-5920,,143-916,서울특별시 광진구 화양동 20-25,서울특별시 광진구 광나루로12길 19 (화양동),,스위스당구장,2023-03-23 16:57:00,U,2022-12-02 22:05:00.0,,205905.74839177,449388.004193115,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000016,19950614,,01,영업/정상,13,영업중,,,,,464-5095,,143841,서울특별시 광진구 자양동 1-1번지 ,서울특별시 광진구 아차산로 244  (자양동),,챔프당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206135.089385369    ,448605.479182886    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000017,19950629,,01,영업/정상,13,영업중,,,,,461-4814,,143914,서울특별시 광진구 화양동 12-30번지 ,서울특별시 광진구 아차산로33길 63  (화양동),,무크당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206203.335168204    ,448977.461867669    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000018,1995-07-06,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-30,,,,,,143-842,서울특별시 광진구 자양동 24-5,서울특별시 광진구 동일로18길 11 (자양동),,상아당구장,2023-03-30 13:40:12,U,2022-12-04 00:01:00.0,,205548.689811343,448653.085751205,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000019,19950715,,03,폐업,03,폐업,19990727,,,,457-3695,,143908,서울특별시 광진구 중곡동 341-7번지 ,서울특별시 광진구 천호대로 573  (중곡동),,칠성당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207161.455859795    ,450484.386089347    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081995000020,1995-07-18,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-31,,,,469-8227,,143-841,서울특별시 광진구 자양동 8-24,서울특별시 광진구 아차산로 218 (자양동),,에이스당구장,2023-03-31 14:43:54,U,2022-12-04 00:02:00.0,,205884.990016684,448726.936870787,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
