관리번호,위도,경도,정보,geometry,index_right
용마산로7-8,37.5701056,127.0862901,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862901 37.5701056),
용마산로7-9,37.5702954,127.0863006,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0863006 37.5702954),
용마산로8-1,37.5707282,127.0860067,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0860067 37.5707282),
용마산로8-2,37.5705109,127.0860023,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0860023 37.5705109),
용마산로8-3,37.5702714,127.0860146,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0860146 37.5702714),
용마산로8-4,37.5700362,127.0860095,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0860095 37.5700362),
용마산로8-5,37.5697942,127.0859983,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0859983 37.5697942),
용마산로8-6,37.569575,127.0859873,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0859873 37.569575),
용마초등학교1-01,37.5565082,127.081259,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.081259 37.5565082),115208.0
용마초등학교1-02,37.55642313,127.0814789,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0814789 37.55642313),115208.0
용마초등학교1-03,37.55633807,127.0816989,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0816989 37.55633807),115208.0
용마초등학교1-04,37.556253,127.0819188,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0819188 37.556253),115208.0
용마초등학교1-05,37.5562381,127.0822406,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0822406 37.5562381),115208.0
용마초등학교1-06,37.55614383,127.0824784,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0824784 37.55614383),115208.0
용마초등학교1-07,37.55604957,127.0827163,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0827163 37.55604957),115208.0
